Rank,Bank Name,Total Assets (US$ Billion)
1,Industrial and Commercial Bank of China,"4,027.44"
2,China Construction Bank,"3,376.52"
3,Agricultural Bank of China,"3,287.36"
4,Bank of China,"3,092.21"
5,Mitsubishi UFJ Financial Group,"3,069.20"
6,HSBC,"2,715.15"
7,JPMorgan Chase,"2,687.38"
8,Bank of America,"2,354.51"
9,BNP Paribas,"2,336.66"
10,Crédit Agricole,"2,123.61"
11,Citigroup,"1,917.38"
12,Japan Post Bank,"1,911.48"
13,Wells Fargo,"1,895.88"
14,Sumitomo Mitsui Financial Group,"1,848.20"
15,Mizuho Financial Group,"1,837.80"
16,Banco Santander,"1,670.79"
17,Deutsche Bank,"1,543.55"
18,Société Générale,"1,485.31"
19,Groupe BPCE,"1,462.70"
20,Barclays,"1,444.39"
21,Bank of Communications,"1,385.81"
22,Postal Savings Bank of China,"1,383.63"
23,Royal Bank of Canada,"1,039.24"
24,Lloyds Banking Group,"1,016.55"
25,ING Group,"1,015.61"
26,Toronto-Dominion Bank,"1,006.00"
27,China Merchants Bank,980.81
28,Crédit Mutuel,976.46
29,Norinchukin Bank,961.37
30,UBS,958.49
31,Industrial Bank (China),952.59
32,UniCredit,951.99
33,Goldman Sachs,931.80
34,Shanghai Pudong Development Bank,914.49
35,Intesa Sanpaolo,901.90
36,Royal Bank of Scotland Group,884.82
37,China CITIC Bank,882.08
38,China Minsheng Bank,871.66
39,Morgan Stanley,853.53
40,Scotiabank,785.44
41,Credit Suisse,781.45
42,Banco Bilbao Vizcaya Argentaria,774.78
43,Commonwealth Bank,691.03
44,Standard Chartered,688.76
45,Australia and New Zealand Banking Group,681.30
46,Rabobank,676.02
47,Nordea,638.02
48,Westpac,636.69
49,China Everbright Bank,633.54
50,Bank of Montreal,613.56
51,DZ Bank,593.89
52,National Australia Bank,583.79
53,Danske Bank,548.86
54,State Bank of India,538.35
55,Resona Holdings,537.39
56,Commerzbank,528.84
57,Sumitomo Mitsui Trust Holdings,520.16
58,Ping An Bank,497.05
59,Canadian Imperial Bank of Commerce,467.55
60,U.S. Bancorp,467.37
61,CaixaBank,442.66
62,Truist Financial,441.24
63,ABN AMRO Group,436.56
64,KB Financial Group Inc,430.80
65,Shinhan Bank,412.85
66,Sberbank of Russia,412.00
67,Nomura Holdings,411.18
68,DBS Bank,404.27
69,Itaú Unibanco,401.10
70,PNC Financial Services,382.32
71,Huaxia Bank,380.41
72,Nonghyup Bank,374.58
73,Capital One,372.54
74,Bank of Beijing,368.72
75,The Bank of New York Mellon,362.87
76,Banco do Brasil,360.73
77,Hana Financial Group,345.84
78,OCBC Bank,343.19
79,Banco Bradesco,337.24
80,Handelsbanken,335.12
81,Caixa Econômica Federal,326.52
82,KBC Bank,324.95
83,China Guangfa Bank,318.58
84,Nationwide Building Society,306.01
85,Woori Bank,305.81
86,DNB ASA,304.03
87,SEB Group,288.91
88,Bank of Shanghai,285.10
89,United Overseas Bank,284.87
90,Bank of Jiangsu (page does not exist),282.34
91,La Banque postale,280.74
92,Landesbank Baden-Württemberg,276.16
93,Erste Group,271.85
94,Industrial Bank of Korea,260.06
95,Qatar National Bank,257.15
96,Banco Sabadell,254.55
97,Swedbank,254.74
98,BayernLB,252.15
99,State Street Corporation,244.60
100,China Zheshang Bank,239.43
101,Bankia,237.77
